Bundesländer-Tour;;;;;;;;;;;;;
Transportreichweite;600;;;;;;;;;;;;
;;;;;;;;;;;;;
;Flughafen Wien;Wien;Sankt Pölten;Eisenstadt;Graz;Linz;Klagenfurt am Wörthersee;Salzburg;Innsbruck;Bregenz;;;
Flughafen Wien;0;19;90,2;62,1;205;209;330;321;501;643;;;
Wien;19;5;65,5;62,7;199;184;324;296;477;619;;;
Sankt Pölten;90,2;65,5;1;114;250;125;375;237;417;559;;;
Eisenstadt;62,1;62,7;114;2;172;232;297;343;524;666;;;
Graz;205;199;250;172;5;220;136;278;458;600;;;
Linz;209;184;125;232;220;3;249;132;313;455;;;
Klagenfurt am Wörthersee;330;324;375;297;136;249;3;228;389;531;;;
Salzburg;321;296;237;343;278;132;228;5;187;329;;;
Innsbruck;501;477;417;524;458;313;389;187;4;190;;;
Bregenz;643;619;559;666;600;455;531;329;190;1;;;
