param n := 10;

param c:

1 2 3 4 5 6 7 8 9 10 :=
1 . 19.0 90.2 62.1 205.0 209.0 330.0 321.0 501.0 643.0
2 19.0 . 65.5 62.7 199.0 184.0 324.0 296.0 477.0 619.0
3 90.2 65.5 . 114.0 250.0 125.0 375.0 237.0 417.0 559.0
4 62.1 62.7 114.0 . 172.0 232.0 297.0 343.0 524.0 666.0
5 205.0 199.0 250.0 172.0 . 220.0 136.0 278.0 458.0 600.0
6 209.0 184.0 125.0 232.0 220.0 . 249.0 132.0 313.0 455.0
7 330.0 324.0 375.0 297.0 136.0 249.0 . 228.0 389.0 531.0
8 321.0 296.0 237.0 343.0 278.0 132.0 228.0 . 187.0 329.0
9 501.0 477.0 417.0 524.0 458.0 313.0 389.0 187.0 . 190.0
10 643.0 619.0 559.0 666.0 600.0 455.0 531.0 329.0 190.0 .
;
param s := 1 0 2 5 3 1 4 2 5 5 6 3 7 3 8 5 9 4 10 1;

param c_limit := 600;
