param n := 21;

param c:

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 :=
1 . 30.7 20.6 16.5 111.0 293.0 314.0 441.0 321.0 338.0 308.0 239.0 205.0 501.0 643.0 35.3 429.0 310.0 310.0 205.0 330.0
2 30.7 . 6.5 8.3 80.0 262.0 282.0 427.0 289.0 307.0 292.0 225.0 191.0 470.0 612.0 61.2 398.0 279.0 296.0 191.0 316.0
3 20.6 6.5 . 4.4 84.9 267.0 287.0 433.0 294.0 312.0 297.0 228.0 194.0 475.0 617.0 53.8 403.0 284.0 302.0 197.0 318.0
4 16.5 8.3 4.4 . 103.0 285.0 305.0 433.0 312.0 330.0 299.0 231.0 197.0 493.0 635.0 50.3 420.0 301.0 302.0 197.0 322.0
5 111.0 80.0 84.9 103.0 . 185.0 205.0 453.0 212.0 229.0 214.0 128.0 271.0 393.0 535.0 145.0 320.0 201.0 254.0 271.0 329.0
6 293.0 262.0 267.0 285.0 185.0 . 20.8 241.0 52.7 60.7 30.5 89.6 188.0 242.0 384.0 328.0 170.0 18.0 103.0 187.0 223.0
7 314.0 282.0 287.0 305.0 205.0 20.8 . 229.0 71.7 69.5 11.0 78.4 176.0 247.0 389.0 305.0 174.0 37.0 79.8 175.0 210.0
8 441.0 427.0 433.0 433.0 453.0 241.0 229.0 . 248.0 232.0 241.0 268.0 309.0 239.0 412.0 503.0 183.0 259.0 203.0 309.0 175.0
9 321.0 289.0 294.0 312.0 212.0 52.7 71.7 248.0 . 7.8 82.6 175.0 277.0 187.0 329.0 354.0 101.0 47.9 98.5 276.0 229.0
10 338.0 307.0 312.0 330.0 229.0 60.7 69.5 232.0 7.8 . 85.1 154.0 252.0 185.0 327.0 372.0 112.0 53.7 83.6 251.0 214.0
11 308.0 292.0 297.0 299.0 214.0 30.5 11.0 241.0 82.6 85.1 . 80.4 178.0 258.0 400.0 307.0 185.0 48.0 93.8 177.0 221.0
12 239.0 225.0 228.0 231.0 128.0 89.6 78.4 268.0 175.0 154.0 80.4 . 111.0 356.0 498.0 240.0 284.0 107.0 83.2 110.0 140.0
13 205.0 191.0 194.0 197.0 271.0 188.0 176.0 309.0 277.0 252.0 178.0 111.0 . 458.0 600.0 205.0 386.0 205.0 181.0 3.6 136.0
14 501.0 470.0 475.0 493.0 393.0 242.0 247.0 239.0 187.0 185.0 258.0 356.0 458.0 . 188.0 534.0 73.6 236.0 258.0 456.0 389.0
15 643.0 612.0 617.0 635.0 535.0 384.0 389.0 412.0 329.0 327.0 400.0 498.0 600.0 188.0 . 682.0 259.0 384.0 406.0 604.0 536.0
16 35.3 61.2 53.8 50.3 145.0 328.0 305.0 503.0 354.0 372.0 307.0 240.0 205.0 534.0 682.0 . 463.0 344.0 310.0 205.0 329.0
17 429.0 398.0 403.0 420.0 320.0 170.0 174.0 183.0 101.0 112.0 185.0 284.0 386.0 73.6 259.0 463.0 . 164.0 186.0 383.0 316.0
18 310.0 279.0 284.0 301.0 201.0 18.0 37.0 259.0 47.9 53.7 48.0 107.0 205.0 236.0 384.0 344.0 164.0 . 121.0 204.0 240.0
19 310.0 296.0 302.0 302.0 254.0 103.0 79.8 203.0 98.5 83.6 93.8 83.2 181.0 258.0 406.0 310.0 186.0 121.0 . 179.0 184.0
20 205.0 191.0 197.0 197.0 271.0 187.0 175.0 309.0 276.0 251.0 177.0 110.0 3.6 456.0 604.0 205.0 383.0 204.0 179.0 . 135.0
21 330.0 316.0 318.0 322.0 329.0 223.0 210.0 175.0 229.0 214.0 221.0 140.0 136.0 389.0 536.0 329.0 316.0 240.0 184.0 135.0 .
;
param s := 1 0 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1 11 1 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1 20 1 21 1;

param c_limit := 1000;
