param n := 31;

param c:

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 :=
1 . 5331.68 9143.1 9085.31 9572.85 14756.26 9727.24 9872.12 7492.24 10858.79 10346.02 7831.55 18383.43 2891.07 1767.99 4614.22 4786.91 5168.39 4561.49 7943.5 9580.8 12128.15 10801.6 8215.31 17247.81 14330.2 9577.88 9163.64 8962.06 7609.01 9284.22
2 5331.68 . 9724.22 9867.57 10866.72 9675.87 10748.3 10035.63 8437.59 15357.99 14662.19 6305.49 15894.87 2593.4 3816.17 1435.11 1919.97 3543.21 3432.79 5848.67 8274.87 17238.97 15152.95 8735.81 16411.63 19343.58 10034.3 7929.67 8659.43 8987.21 9793.23
3 9143.1 9724.22 . 252.99 1236.18 9145.41 1034.67 767.46 1671.4 6804.15 6206.38 15992.35 11823.48 8739.36 8484.97 8451.8 7884.03 6237.7 6522.74 4239.96 2384.63 8738.39 6498.24 1053.09 12520.95 9671.24 435.46 2421.72 1276.79 1582.86 145.33
4 9085.31 9867.57 252.99 . 1033.41 9360.76 882.82 925.57 1669.66 6578.34 5972.96 16102.09 11825.39 8796.1 8493.51 8573.23 8009.7 6360.6 6622.83 4452.41 2637.05 8530.55 6272.82 1142.56 12484.48 9519.74 540.73 2667.48 1513.79 1483.88 344.56
5 9572.85 10866.72 1236.18 1033.41 . 9681.88 343.77 1436.18 2502.77 5577.23 4995.4 17010.81 11140.97 9635.09 9206.14 9543.72 8988.06 7339.32 7564.24 5476.09 3514.13 7502.66 5271.02 2133.55 11686.93 8511.67 1138.46 3613.28 2501.79 2098.18 1229.65
6 14756.26 9675.87 9145.41 9360.76 9681.88 . 9352.22 8460.78 10148.41 12578.68 12666.75 11026.17 6877.41 11887.06 12993.4 10158.62 9970.39 9836.42 10413.83 7656.4 7248.89 12383.09 12439.36 9467.68 7950.33 10535.01 8855.94 7523.54 8411.53 10505.07 9020.99
7 9727.24 10748.3 1034.67 882.82 343.77 9352.22 . 1107.48 2489.09 5843.96 5280.44 16978.15 11062.57 9639.14 9272.77 9455.67 8892.48 7243.31 7500.06 5250.14 3213.03 7730.11 5537.79 2024.21 11662.23 8642.02 845.45 3335.51 2256.86 2163.65 994.0
8 9872.12 10035.63 767.46 925.57 1436.18 8460.78 1107.48 . 2380.07 6898.1 6360.3 16339.38 11162.0 9291.44 9129.07 8842.04 8266.02 6642.27 6987.15 4324.51 2134.05 8708.45 6593.05 1677.91 11921.89 9393.03 395.84 2307.12 1376.23 2348.75 622.67
9 7492.24 8437.59 1671.4 1669.66 2502.77 10148.41 2489.09 2380.07 . 7519.36 6837.8 14510.85 13490.64 7150.25 6824.6 7074.01 6531.48 4894.39 5075.34 3684.71 2904.37 9599.28 7228.1 757.09 14147.13 10922.33 2105.24 2675.07 1758.11 636.9 1806.45
10 10858.79 15357.99 6804.15 6578.34 5577.23 12578.68 5843.96 6898.1 7519.36 . 715.04 16007.23 8535.64 12972.6 11872.01 13948.98 13557.12 12126.57 12056.25 11017.04 9031.83 2109.67 306.27 7518.74 8263.21 4020.34 6689.24 9179.27 8077.87 6891.92 6806.79
11 10346.02 14662.19 6206.38 5972.96 4995.4 12666.75 5280.44 6360.3 6837.8 715.04 . 16215.91 9153.89 12325.31 11256.91 13245.71 12846.02 11411.94 11342.69 10383.38 8490.24 2820.61 496.13 6871.43 8935.36 4707.53 6124.07 8608.67 7483.17 6206.7 6219.72
12 7831.55 6305.49 15992.35 16102.09 17010.81 11026.17 16978.15 16339.38 14510.85 16007.23 16215.91 . 11817.4 7380.23 7888.89 7541.61 8111.42 9755.44 9479.31 12062.85 14432.07 14720.54 16258.56 14960.36 11362.12 14342.95 16330.76 14144.23 14963.4 14928.9 16075.61
13 18383.43 15894.87 11823.48 11825.39 11140.97 6877.41 11062.57 11162.0 13490.64 8535.64 9153.89 11817.4 . 18488.21 19663.27 16893.57 16820.99 16516.05 17123.34 13667.95 11827.26 6908.71 8664.13 12837.47 1139.93 4664.07 11393.76 12252.66 12257.77 13224.94 11693.25
14 2891.07 2593.4 8739.36 8796.1 9635.09 11887.06 9639.14 9291.44 7150.25 12972.6 12325.31 7380.23 18488.21 . 1230.23 1728.55 1985.63 2965.13 2440.91 5957.9 8151.43 14673.15 12820.3 7686.76 18709.53 16912.01 9140.91 7733.8 8026.57 7549.04 8850.93
15 1767.99 3816.17 8484.97 8493.51 9206.14 12993.4 9272.77 9129.07 6824.6 11872.01 11256.91 7888.89 19663.27 1230.23 . 2892.9 3023.46 3509.81 2907.68 6427.71 8362.84 13474.24 11746.07 7459.38 18871.48 15721.06 8911.34 7936.76 7995.07 7114.71 8612.35
16 4614.22 1435.11 8451.8 8573.23 9543.72 10158.62 9455.67 8842.04 7074.01 13948.98 13245.71 7541.61 16893.57 1728.55 2892.9 . 577.83 2214.1 2016.78 4890.06 7278.8 15921.34 13732.84 7431.56 17670.66 17910.21 8793.45 6896.02 7478.6 7600.65 8534.1
17 4786.91 1919.97 7884.03 8009.7 8988.06 9970.39 8892.48 8266.02 6531.48 13557.12 12846.02 8111.42 16820.99 1985.63 3023.46 577.83 . 1649.59 1521.36 4331.25 6708.83 15592.97 13324.82 6869.29 17760.98 17426.52 8221.48 6323.23 6901.45 7071.27 7964.33
18 5168.39 3543.21 6237.7 6360.6 7339.32 9836.42 7243.31 6642.27 4894.39 12126.57 11411.94 9755.44 16516.05 2965.13 3509.81 2214.1 1649.59 . 607.31 2995.79 5228.0 14226.49 11869.05 5219.82 17655.9 15814.94 6581.86 4820.7 5290.49 5450.35 6320.56
19 4561.49 3432.79 6522.74 6622.83 7564.24 10413.83 7500.06 6987.15 5075.34 12056.25 11342.69 9479.31 17123.34 2440.91 2907.68 2016.78 1521.36 607.31 . 3558.91 5711.98 14122.29 11816.44 5481.8 18263.15 15911.3 6891.11 5296.03 5665.5 5588.07 6616.98
20 7943.5 5848.67 4239.96 4452.41 5476.09 7656.4 5250.14 4324.51 3684.71 11017.04 10383.38 12062.85 13667.95 5957.9 6427.71 4890.06 4331.25 2995.79 3558.91 . 2426.6 12977.73 10713.17 3516.38 14775.01 13640.22 4428.85 2089.23 2996.85 4313.5 4258.38
21 9580.8 8274.87 2384.63 2637.05 3514.13 7248.89 3213.03 2134.05 2904.37 9031.83 8490.24 14432.07 11827.26 8151.43 8362.84 7278.8 6708.83 5228.0 5711.98 2426.6 . 10801.35 8726.93 2271.17 12819.46 11224.12 2375.87 426.08 1236.65 3326.85 2331.05
22 12128.15 17238.97 8738.39 8530.55 7502.66 12383.09 7730.11 8708.45 9599.28 2109.67 2820.61 14720.54 6908.71 14673.15 13474.24 15921.34 15592.97 14226.49 14122.29 12977.73 10801.35 . 2384.41 9539.97 6419.37 2247.17 8560.71 11015.09 9986.81 8978.71 8719.94
